wallet,initial_usd,final_usd,cumulative_roi,avg_daily_roi,volatility,positive_days,max_drawdown,sharpe_ratio,sortino_ratio,avg_recovery_time_days
3Ac4ZYgMN4BUYWZhEWHQE2WuwMThLgQTNnE3c5Xk7kyi,25526.1789012672,99710.6332156829,290.621070240689,3.867352774851019,34.54538633785867,70.0,-8.922199797378077,0.1119499066250922,1.6524249431785942,4.0
3UHVvbncHGDneuyoPqMuetHQGtADEokwZv3r1CSRsfwu,6435.091239351841,23288.145034079043,261.8930045881476,3.093163573072446,26.228544890908893,70.0,-7.195692799410419,0.1179311923683791,2.982873300034944,5.4
55Mybfizxxhk4Dv9yN6UJFuCtQwt3ythuMDitJ81Td51,29983.00243262064,105674.9346204677,252.4494748581164,1.7023356501059834,4.024350057790149,74.0,-7.182374322649541,0.4230088401009453,0.4349542953268585,3.0
5FVWhLyb1KRppZCBUSofDgwZVXdY4Q45CfwAzpeJCJPQ,2676.60506673456,9393.71655754848,250.95639152356347,2.6692776378446306,20.630744839144427,70.0,-9.933861081557154,0.1293834836626929,0.8214078996366091,1.7142857142857142
3nU27kkXuMHa2rYjoQTiDHZ2kKGtRbHHro9nsP4hUADo,2203.39338199344,7677.6877624584,248.44834450361705,3.084752887965783,25.06158796756237,68.0,-15.388824730027263,0.1230868886663698,2.655689315392366,1.4444444444444444
BnwZvGydWCKzpRGAkeTKH73NVDfy38Dpj9nbpsbiw6tR,10317915.279340718,35534575.78792596,244.3968556233048,3.4600336315287743,29.28653056559204,64.0,-52.981278138658006,0.1181441968272566,0.3696223687168497,3.5
3uLipSrkMGVbfsSFo1GkBvbJWJF9xxA5WrqQjTNFAFb4,3592.5063041275203,12309.317027190242,242.6387035994275,2.1424160305096875,13.105921448174197,66.0,-11.990968210978115,0.1634693172076161,0.6325656196525982,1.5555555555555556
J9szoCeKZGcCwA3ZgBPCSCsMsFEfhaYowwqjyAWTVaYa,598.4225609544001,2048.6466390235205,242.3411436487649,5.607687983899801,53.70991523746839,75.0,-45.51565409380585,0.1044069416067117,0.247475249773537,1.5
9BQFZeHf6fzSjefCueU6xnrCVxfGcN5jDGs8RnD5AS7d,1285.0121764459202,4384.670603884801,241.21626893932628,2.891455745487381,24.024142943789617,69.0,-16.542890836435376,0.1203562496382348,0.7969845599070913,5.375
J93wiuzEAqBJddH1jaskRvZpQ84yQGMufZUr1MsPgYWV,2661.0691062384003,9064.61432060784,240.63806533086543,2.3762835471024526,16.530557353577713,66.0,-9.925235550838584,0.1437509635201836,0.7278342868430198,1.5555555555555556
J8n2wyUBFyAE2Z6T2pYxBW9JsG4AiVLbhA26hUdiYbCz,16266.73623012048,53370.617983313285,228.0966582865529,2.7291801533048416,23.289493579322013,73.0,-2.781907796333427,0.1171850364203707,2.6091110243941507,13.5
pnfTAPxpQwmq4cYdu4jXwUstrokZ8FBVYGqSif3sGc7,58902.630370964645,190466.23226894403,223.35777039055984,2.6494944016680138,22.48791725569156,72.0,-1.8745037128306248,0.1178185765957246,3.402810247997498,5.333333333333333
4rVaesU9UNXns4xxKmKoFAG9DGjkRy99irYkTPKnoDZ1,1553.82945295968,4962.933374662561,219.4001352728472,2.820687063927968,23.824436868223422,65.0,-10.593350559051638,0.1183947003461032,1.043204243554594,1.6363636363636365
3G6jn42tacPo41U6M8srpmb1ncDn6qkwHeDxAMspZYUa,129511.81952625074,411697.1587473687,217.8838504881956,2.458628643075671,20.17445649157893,69.0,-1.8671557802528496,0.1218683955179626,3.782373749751289,4.666666666666667
5PcpA5dHX1DSt3B6guEBqnFNNi95VN3Cbnm9qh4TooUA,1738.9691411851202,5526.75322677456,217.81778617463203,2.871333963232662,23.812304154596333,68.0,-14.759435511883945,0.1205819455602084,0.6605832171089175,1.375
CVZbKDQzQmkHY2zzrubfi22WP96UHEZWvp9927y2djrD,25766.77217096112,81254.62087437746,215.346525887129,2.606833823741761,22.34419344430294,69.0,-2.515670046734213,0.1166671703876793,3.727835352968386,7.25
8ABpYLEk3QDk7t8XW4wGpXbtH1N6FtxvpwrXw7qgdk3U,82512.9120466872,255243.68785720752,209.3378739472755,2.485809482849826,21.05425922558579,72.0,-1.642710324271307,0.1180668223097107,3.638115017662645,3.75
6T34AgXPaCyZMTSgMso7qMar6i1C5yfLURBtB9GcbP8Z,540.52927005792,1655.590425192,206.2906149401672,2.496408546099811,15.95597352811385,73.0,-40.217852066876986,0.1564560471162245,0.1284495526779114,1.5
89WUDPHs4ut6JmpPY9QjsaJq5BrHhcywf4c5SXfNCGm9,3094.24271439504,9318.332350060802,201.15065979504595,1.7958644200359275,10.369485702304996,68.0,-9.62200645795178,0.1731874146503459,1.064672829000704,6.0
4UiA9XwUgC8Z63S33LE9fKjTYzJZ5FNt73L4ZsbSf68v,474.68193530784,1414.2693037012805,197.9404098839576,2.0141469201716538,12.40613184395926,74.0,-22.72315308396448,0.1623509201340927,1.1504353592147625,1.6666666666666667
